Day;Alive Animals;Total Plants;Free Spaces;Most Common Genotype;Average Energy;Average Lifespan;Average Offspring
"1";"20";"10";"74";"[4, 5, 6, 7, 0, 3]";"59,00";"-1,00";"0,00"
"1";"20";"15";"74";"[4, 5, 6, 7, 0, 3]";"59,00";"-1,00";"0,00"
"2";"20";"15";"70";"[4, 5, 6, 7, 0, 3]";"58,00";"-1,00";"0,00"
"2";"20";"15";"71";"[4, 5, 6, 7, 0, 3]";"58,00";"-1,00";"0,00"
"2";"20";"20";"69";"[4, 5, 6, 7, 0, 3]";"58,00";"-1,00";"0,00"
"3";"20";"20";"63";"[4, 5, 6, 7, 0, 3]";"57,00";"-1,00";"0,00"
"3";"20";"25";"64";"[4, 5, 6, 7, 0, 3]";"57,00";"-1,00";"0,00"
"4";"20";"25";"57";"[4, 5, 6, 7, 0, 3]";"56,00";"-1,00";"0,00"
"4";"20";"25";"64";"[4, 5, 6, 7, 0, 3]";"56,00";"-1,00";"0,00"
"4";"20";"30";"61";"[4, 5, 6, 7, 0, 3]";"56,00";"-1,00";"0,00"
"5";"20";"30";"61";"[4, 5, 6, 7, 0, 3]";"56,00";"-1,00";"0,00"
"5";"20";"30";"61";"[4, 5, 6, 7, 0, 3]";"56,00";"-1,00";"0,00"
